"Date & Time","Usage [kW]","Generation [kW]","Grid [kW]","EV Charger [kW]","Inverter 1 [kW]","Inverter 1+ [kW]","Inverter 2 [kW]","Inverter 2+ [kW]","Fridge [kW]","Dryer [kW]","HVAC [kW]","Water Heater [kW]"
2022-11-01 12:30:00,2.662688669,0.661141273,1.995404236,-0.003140197,0.418413866,0.421586007,0.242727407,0.245698426,-0.063640822,-0.003504039,-0.117836227,-0.552383275
2022-10-31 12:30:00,2.765419664,0.685585891,2.073596782,-0.003129873,0.430179491,0.433377558,0.255406400,0.258445324,-0.048814109,-0.328771968,-0.555234664,-0.220827512
2022-10-30 12:30:00,2.685775278,0.969837188,1.709670023,-0.003155336,0.595876227,0.599125729,0.373960961,0.376979525,-0.047339641,-0.152211123,-0.536115926,-0.564166759
2022-10-29 12:30:00,0.478323380,1.688104803,-1.215907407,-0.003219282,1.027090683,1.030241609,0.661014120,0.663989178,-0.032186979,-0.002529560,-0.051344618,-0.075518692
2022-10-28 12:30:00,0.620839005,1.592395220,-0.977674178,-0.003226620,0.981485995,0.984666354,0.610909225,0.613846829,-0.040734248,-0.002616620,-0.135058437,-0.141476678
2022-10-27 12:30:00,0.899561875,2.180503750,-1.286988600,-0.003185347,1.312953611,1.316095116,0.867550139,0.870455359,-0.042327731,-0.002935509,-0.050877569,-0.358953461
2022-10-26 12:30:00,1.634651898,1.419006273,0.209635660,-0.003161377,0.861657211,0.864786354,0.557349062,0.560229884,-0.057794988,-0.266401447,-0.050285775,-0.497451400
2022-10-25 12:30:00,1.418395266,1.707316030,-0.295178310,-0.003228657,1.037073102,1.040302546,0.670242928,0.673271030,-0.052522257,-0.170010718,-0.051540185,-0.409120174
2022-10-24 12:30:00,2.194669271,2.343810324,-0.155143009,-0.003226493,1.402350718,1.405441713,0.941459606,0.944370567,-0.052495243,-0.002918206,-0.053956991,-0.374112650
2022-10-23 12:30:00,1.642577431,2.409418102,-0.772760741,-0.003194375,1.441524769,1.444598762,0.967893333,0.970739410,-0.051571748,-0.003336424,-0.405796123,-0.505300336
2022-10-22 12:30:00,2.475946644,2.436113773,0.033786007,-0.003204410,1.458431227,1.461521412,0.977682546,0.980639225,-0.061304433,-0.318509676,-0.550575174,-0.580854525
2022-10-21 12:30:00,1.872451644,2.473129630,-0.606544606,-0.003249178,1.480231817,1.483282025,0.992897813,0.995714225,-0.044470174,-0.003090995,-0.882237558,-0.231491979
2022-10-20 12:30:00,3.171849931,2.567022986,0.598910035,-0.642054572,1.537753704,1.540820544,1.029269282,1.032119352,-0.047403380,-0.003517998,-0.997407535,-0.538936667
2022-10-19 12:30:00,4.156796134,1.726285625,2.424695035,-0.003196574,1.050207778,1.053234398,0.676077847,0.678866701,-0.056287743,-0.037186377,-1.158257106,-0.430480914
2022-10-18 12:30:00,3.221792199,1.137105775,2.078542662,-0.003196782,0.714202245,0.717366019,0.422903530,0.425883519,-0.106553102,-0.236272535,-1.289507211,-0.387789144
2022-10-17 12:30:00,2.725816771,1.767675046,0.952270498,-0.647954965,1.078475313,1.081491551,0.689199734,0.692054722,-0.051500903,-0.128691748,-0.333788472,-0.361694537
2022-10-16 12:30:00,2.300995671,1.027191458,1.267727083,-0.996066400,0.637730475,0.640812269,0.389460984,0.392456319,-0.059444803,-0.003103403,-0.060232755,-0.488389271
2022-10-15 12:30:00,2.549946644,1.841895706,0.702202963,-0.003135417,1.126861262,1.129864479,0.715034444,0.717879201,-0.060626968,-0.151146944,-0.050385127,-0.309597986
2022-10-14 12:30:00,1.308065289,2.650401516,-1.348116910,-0.003207095,1.602662627,1.605668646,1.047738889,1.050513553,-0.050354120,-0.003158646,-0.346553241,-0.309602859
2022-10-13 12:30:00,1.592986065,2.079764132,-0.492603206,-0.582977975,1.263366447,1.266372234,0.816397685,0.819217037,-0.050070868,-0.003331968,-0.051194468,-0.441298252
2022-10-12 12:30:00,1.252810579,1.278959016,-0.032204884,-0.003155972,0.798798067,0.801936019,0.480160949,0.483079444,-0.056117025,-0.177937639,-0.050174086,-0.322250613
2022-10-11 12:30:00,2.446031042,1.725790058,0.714467234,-0.003173993,1.062716042,1.065682361,0.663074016,0.665881447,-0.061440174,-0.180492720,-0.148095498,-0.466225498
2022-10-10 12:30:00,2.792710741,2.696700764,0.090248507,-0.650308692,1.649500162,1.652462106,1.047200602,1.050000127,-0.045349583,-0.119445093,-0.225582188,-0.347758056
2022-10-09 12:30:00,2.640061042,2.801582674,-0.167264317,-0.733307188,1.713186887,1.716152789,1.088395787,1.091172569,-0.045698947,-0.002990104,-0.548571088,-0.615329699
2022-10-08 12:30:00,2.643833368,2.848852963,-0.210727303,-0.516277928,1.745426227,1.748353067,1.103426736,1.106207604,-0.056553935,-0.227529699,-0.373787245,-0.337802523
2022-10-07 12:30:00,0.722275174,2.378020069,-1.661484931,-0.124532685,1.458392049,1.461386481,0.919628021,0.922373623,-0.049586157,-0.013848484,-0.050533113,-0.130642130
2022-10-06 12:30:00,1.357377002,2.680828704,-1.329152025,-0.003290625,1.649091076,1.652038310,1.031737627,1.034490718,-0.061860660,-0.232967211,-0.050621933,-0.310787662
2022-10-05 12:30:00,1.975311100,2.718982361,-0.749343056,-0.003287824,1.673385544,1.676304653,1.045596817,1.048349502,-0.050534572,-0.137307338,-0.083427778,-0.349843750
2022-10-04 12:30:00,1.850802350,2.351013704,-0.505868252,-0.649519525,1.453590648,1.456525648,0.897423056,0.900144954,-0.052629028,-0.002649780,-0.343338843,-0.334439063
2022-10-03 12:30:00,1.965306262,2.907169086,-0.947437847,-0.670855405,1.792167720,1.795047720,1.115001366,1.117696389,-0.060034468,-0.123330266,-0.204217384,-0.355742049
2022-10-02 12:30:00,1.891099722,1.038197049,0.847162269,-0.005251042,0.654080394,0.656984722,0.384116655,0.386952731,-0.060647442,-0.088831586,-0.272558113,-0.578922650
