Date & Time,Date,Time,Month,Usage [kW],Generation [kW],Grid [kW],EV Charger [kW],Inverter 1 [kW],Inverter 1+ [kW],Inverter 2 [kW],Inverter 2+ [kW],Fridge [kW],Dryer [kW],HVAC [kW],Water Heater [kW],tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-06-21 12:30:00,2019-06-21,12:30:00,6,0.628825417,-1.5035e-05,0.628806181,-0.003441771,-1.481e-06,7.28e-06,-1.3553e-05,1.1956e-05,-0.039256574,-0.0,-0.0,-0.0,20.7,18.6,24.1,,,,17.0,,,
2019-06-22 12:30:00,2019-06-22,12:30:00,6,1.281439456,-2.9259e-05,1.281421806,-0.003379016,-6.678e-06,6.563e-06,-2.2581e-05,1.1088e-05,-0.06272831,-0.0,-0.0,-0.0,18.9,15.3,22.7,,,,2.2,,,
2019-06-23 12:30:00,2019-06-23,12:30:00,6,1.608331019,-2.985e-05,1.608312836,-0.003329722,-6.366e-06,6.655e-06,-2.3484e-05,1.1528e-05,-0.066147199,-0.002446366,-0.01685794,-0.024352685,19.9,14.0,25.4,,,,2.9,,,
2019-06-24 12:30:00,2019-06-24,12:30:00,6,1.514244213,2.487237755,-0.977617778,-0.003591192,1.293538287,1.295916134,1.193699468,1.195945856,-0.066760313,-0.14153456,-0.268555926,-0.291840023,23.5,16.8,30.1,,,,4.5,,,
2019-06-25 12:30:00,2019-06-25,12:30:00,6,1.65280066,4.170146944,-2.521511412,-0.632324109,2.150185266,2.152351019,2.019961678,2.021961053,-0.054014259,-0.003260301,-0.221052025,-0.228592234,22.0,17.9,25.5,,,,7.6,,,
2019-06-26 12:30:00,2019-06-26,12:30:00,6,1.490077245,4.683080671,-3.197230845,-0.003657558,2.445674896,2.447859583,2.237405775,2.239448507,-0.054767882,-0.090264641,-0.173665289,-0.529884398,22.3,15.0,29.5,,,,4.6,,,
2019-06-27 12:30:00,2019-06-27,12:30:00,6,1.304610937,4.214946748,-2.914585208,-0.003711667,2.201721181,2.203910671,2.013225567,2.015285475,-0.055750104,-0.060062581,-0.361287118,-0.186612141,23.2,16.2,29.5,,,,2.2,,,
2019-06-28 12:30:00,2019-06-28,12:30:00,6,1.492763171,3.878090833,-2.389674954,-0.003635938,2.01642669,2.018662627,1.861664144,1.863775498,-0.05916331,-0.071141701,-0.331566644,-0.329746528,23.2,17.2,28.7,,,,3.1,,,
2019-06-29 12:30:00,2019-06-29,12:30:00,6,1.764591725,4.122874618,-2.362588426,-0.00362588,2.163940833,2.166150116,1.958933785,1.961030035,-0.07747184,-0.080051308,-0.552538125,-0.27719162,23.7,18.1,30.3,,,,3.5,,,
2019-06-30 12:30:00,2019-06-30,12:30:00,6,2.40421794,4.479019745,-2.079094977,-0.003624907,2.334989896,2.337203056,2.14402985,2.146109861,-0.066928414,-0.159564051,-0.763302199,-0.501421979,24.3,18.6,30.1,,,,9.9,,,
2019-07-01 12:30:00,2019-07-01,12:30:00,7,1.215084919,4.12451309,-2.913702951,-0.003596227,2.170368715,2.172585498,1.954144375,1.956202373,-0.036938935,-0.002571238,-0.645773796,-0.064526377,23.7,18.3,29.3,,,,4.5,,,
